Break;SM_velocity;OM_velocity;onset;duration;ITI_duration
0;-100;-98;0;3;0.5
1;100;98.25;3.5;3;0.5
0;40;40.5;7;3;0.5
0;-60;-60.75;10.5;3;0.5
0;-80;-79.5;14;3;0.5
0;-100;-100.75;17.5;3;0.5
0;40;41.75;21;3;0.5
0;-100;-97.75;24.5;3;0.5
0;80;82.25;28;3;0.5
0;-100;-99;31.5;3;0.5
0;-60;-58.25;35;3;0.5
0;60;57.5;38.5;3;0.5
0;-20;-22.25;42;3;0.5
0;-20;-20.25;45.5;3;0.5
0;80;80;49;3;0.5
0;-40;-42;52.5;3;0.5
0;-40;-37.5;56;3;0.5
0;-100;-102.25;59.5;3;0.5
0;80;77.5;63;3;0.5
0;-40;-39.75;66.5;3;0.5
0;100;98.25;70;3;0.5
0;60;61.25;73.5;3;0.5
0;60;58.25;77;3;0.5
0;0;1.75;80.5;3;0.5
0;80;79.5;84;3;0.5
0;-100;-99.5;87.5;3;0.5
0;-60;-58.75;91;3;0.5
0;-20;-19.75;94.5;3;0.5
0;100;98.75;98;3;0.5
0;60;57.5;101.5;3;0.5
0;60;60.25;105;3;0.5
0;40;42.5;108.5;3;0.5
0;-40;-38;112;3;0.5
0;20;18.5;115.5;3;0.5
0;-100;-102.25;119;3;0.5
0;-20;-21.75;122.5;3;0.5
0;-60;-58.5;126;3;0.5
0;20;22.25;129.5;3;0.5
0;-40;-41.25;133;3;0.5
0;20;21;136.5;3;0.5
0;-60;-59;140;3;0.5
0;-60;-60.75;143.5;3;0.5
0;-100;-102.5;147;3;0.5
0;40;39;150.5;3;0.5
0;40;38.25;154;3;0.5
0;40;42;157.5;3;0.5
0;-60;-62.25;161;3;0.5
0;20;19;164.5;3;0.5
0;-100;-98.25;168;3;0.5
0;40;39.5;171.5;3;0.5
0;40;41.5;175;3;0.5
0;-80;-79.75;178.5;3;0.5
0;80;80.5;182;3;0.5
0;-40;-40.5;185.5;3;0.5
0;-60;-61.5;189;3;0.5
0;-40;-41.5;192.5;3;0.5
0;40;41.75;196;3;0.5
0;-100;-97.75;199.5;3;0.5
0;100;98;203;3;0.5
0;-80;-77.5;206.5;3;0.5
0;20;21.5;210;3;0.5
0;20;19.5;213.5;3;0.5
0;60;57.75;217;3;0.5
0;40;41.25;220.5;3;0.5
0;-60;-60;224;3;0.5
0;60;61;227.5;3;0.5
0;60;61.75;231;3;0.5
0;-40;-39.25;234.5;3;0.5
0;60;62;238;3;0.5
0;40;42;241.5;3;0.5
0;80;78.75;245;3;0.5
0;80;77.75;248.5;3;0.5
0;-40;-38.75;252;3;0.5
0;80;78.75;255.5;3;0.5
0;-80;-78;259;3;0.5
0;60;58.25;262.5;3;0.5
0;20;18.25;266;3;0.5
0;100;98.5;269.5;3;0.5
0;60;62.5;273;3;0.5
0;100;100.25;276.5;3;0.5
0;100;102.5;280;3;0.5
0;20;19;283.5;3;0.5
0;40;41.25;287;3;0.5
0;60;59.25;290.5;3;0.5
0;80;78.5;294;3;0.5
0;-80;-81.25;297.5;3;0.5
0;40;40.75;301;3;0.5
0;80;82;304.5;3;0.5
0;80;81.5;308;3;0.5
